"series_code","away","home","winner","home_margin","games","away_url","home_url","year","winner_margin"
"Boston Celtics_New York Knicks_1990","New York Knicks","Boston Celtics","New York Knicks",0.6,5,"/teams/NYK/1990.html","/teams/BOS/1990.html",1990,-0.6
"Detroit Pistons_Indiana Pacers_1990","Indiana Pacers","Detroit Pistons","Detroit Pistons",12.3333333333333,3,"/teams/IND/1990.html","/teams/DET/1990.html",1990,12.3333333333333
"Cleveland Cavaliers_Philadelphia 76ers_1990","Cleveland Cavaliers","Philadelphia 76ers","Philadelphia 76ers",-2.4,5,"/teams/CLE/1990.html","/teams/PHI/1990.html",1990,-2.4
"Dallas Mavericks_Portland Trail Blazers_1990","Dallas Mavericks","Portland Trail Blazers","Portland Trail Blazers",9.33333333333333,3,"/teams/DAL/1990.html","/teams/POR/1990.html",1990,9.33333333333333
"Denver Nuggets_San Antonio Spurs_1990","Denver Nuggets","San Antonio Spurs","San Antonio Spurs",12,3,"/teams/DEN/1990.html","/teams/SAS/1990.html",1990,12
"Chicago Bulls_Milwaukee Bucks_1990","Milwaukee Bucks","Chicago Bulls","Chicago Bulls",9.5,4,"/teams/MIL/1990.html","/teams/CHI/1990.html",1990,9.5
"Houston Rockets_Los Angeles Lakers_1990","Houston Rockets","Los Angeles Lakers","Los Angeles Lakers",7.75,4,"/teams/HOU/1990.html","/teams/LAL/1990.html",1990,7.75
"Phoenix Suns_Utah Jazz_1990","Phoenix Suns","Utah Jazz","Phoenix Suns",-1.4,5,"/teams/PHO/1990.html","/teams/UTA/1990.html",1990,1.4
"Portland Trail Blazers_San Antonio Spurs_1990","San Antonio Spurs","Portland Trail Blazers","Portland Trail Blazers",-2.28571428571429,7,"/teams/SAS/1990.html","/teams/POR/1990.html",1990,-2.28571428571429
"Chicago Bulls_Philadelphia 76ers_1990","Philadelphia 76ers","Chicago Bulls","Chicago Bulls",7.6,5,"/teams/PHI/1990.html","/teams/CHI/1990.html",1990,7.6
"Detroit Pistons_New York Knicks_1990","New York Knicks","Detroit Pistons","Detroit Pistons",11.4,5,"/teams/NYK/1990.html","/teams/DET/1990.html",1990,11.4
"Los Angeles Lakers_Phoenix Suns_1990","Phoenix Suns","Los Angeles Lakers","Phoenix Suns",-1.6,5,"/teams/PHO/1990.html","/teams/LAL/1990.html",1990,1.6
"Chicago Bulls_Detroit Pistons_1990","Chicago Bulls","Detroit Pistons","Detroit Pistons",3,7,"/teams/CHI/1990.html","/teams/DET/1990.html",1990,3
"Phoenix Suns_Portland Trail Blazers_1990","Phoenix Suns","Portland Trail Blazers","Portland Trail Blazers",-5.66666666666667,6,"/teams/PHO/1990.html","/teams/POR/1990.html",1990,-5.66666666666667
"Detroit Pistons_Portland Trail Blazers_1990","Portland Trail Blazers","Detroit Pistons","Detroit Pistons",5,5,"/teams/POR/1990.html","/teams/DET/1990.html",1990,5
"Chicago Bulls_New York Knicks_1991","New York Knicks","Chicago Bulls","Chicago Bulls",20,3,"/teams/NYK/1991.html","/teams/CHI/1991.html",1991,20
"Houston Rockets_Los Angeles Lakers_1991","Houston Rockets","Los Angeles Lakers","Los Angeles Lakers",5.66666666666667,3,"/teams/HOU/1991.html","/teams/LAL/1991.html",1991,5.66666666666667
"Milwaukee Bucks_Philadelphia 76ers_1991","Philadelphia 76ers","Milwaukee Bucks","Philadelphia 76ers",-11.3333333333333,3,"/teams/PHI/1991.html","/teams/MIL/1991.html",1991,11.3333333333333
"Phoenix Suns_Utah Jazz_1991","Utah Jazz","Phoenix Suns","Utah Jazz",-11.5,4,"/teams/UTA/1991.html","/teams/PHO/1991.html",1991,11.5
"Golden State Warriors_San Antonio Spurs_1991","Golden State Warriors","San Antonio Spurs","Golden State Warriors",-5,4,"/teams/GSW/1991.html","/teams/SAS/1991.html",1991,5
